record_id,timestamp,agitator_tag,gearbox_tag,motor_tag,component,measurement_type,item_description,unit,source_value,operating_state,record_note
LOG-00173,2026-07-06 10:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.9,heat-up,historian point
LOG-00174,2026-07-06 10:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00175,2026-07-06 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.2,heat-up,historian point
LOG-00176,2026-07-06 11:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.9,heat-up,historian point
LOG-00177,2026-07-06 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.60,heat-up,historian point
LOG-00178,2026-07-06 11:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.8,heat-up,historian point
LOG-00179,2026-07-06 11:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00180,2026-07-06 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,heat-up,historian point
LOG-00181,2026-07-06 12:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.9,heat-up,historian point
LOG-00182,2026-07-06 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.57,heat-up,historian point
LOG-00183,2026-07-06 12:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.6,heat-up,historian point
LOG-00184,2026-07-06 12:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00185,2026-07-06 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,heat-up,historian point
LOG-00186,2026-07-06 13:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.8,heat-up,historian point
LOG-00187,2026-07-06 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.55,heat-up,historian point
LOG-00188,2026-07-06 13:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.5,heat-up,historian point
LOG-00189,2026-07-06 13:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,heat-up,historian point
LOG-00190,2026-07-06 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,heat-up,historian point
LOG-00191,2026-07-06 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.8,heat-up,historian point
LOG-00192,2026-07-06 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.52,heat-up,historian point
LOG-00193,2026-07-06 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.3,heat-up,historian point
LOG-00194,2026-07-06 14:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,heat-up,historian point
LOG-00195,2026-07-06 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.4,heat-up,historian point
LOG-00196,2026-07-06 15:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.8,heat-up,historian point
LOG-00197,2026-07-06 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.50,heat-up,historian point
LOG-00198,2026-07-06 15:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.2,heat-up,historian point
LOG-00199,2026-07-06 15:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,heat-up,historian point
LOG-00200,2026-07-06 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.5,heat-up,historian point
LOG-00201,2026-07-06 16:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.8,heat-up,historian point
LOG-00202,2026-07-06 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.47,heat-up,historian point
LOG-00203,2026-07-06 16:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.0,heat-up,historian point
LOG-00204,2026-07-06 16:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,heat-up,historian point
LOG-00205,2026-07-06 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.6,heat-up,historian point
LOG-00206,2026-07-06 17:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.8,recirculation,historian point
LOG-00207,2026-07-06 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.45,recirculation,historian point
LOG-00208,2026-07-06 17:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.8,recirculation,historian point
LOG-00209,2026-07-06 17:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,recirculation,historian point
LOG-00210,2026-07-06 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.7,recirculation,historian point
LOG-00211,2026-07-06 18:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.9,batch hold,historian point
LOG-00212,2026-07-06 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.43,batch hold,historian point
LOG-00213,2026-07-06 18:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.7,batch hold,historian point
LOG-00214,2026-07-06 18:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,batch hold,historian point
LOG-00215,2026-07-06 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.8,batch hold,historian point
LOG-00216,2026-07-06 19:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.9,batch hold,historian point
LOG-00217,2026-07-06 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.41,batch hold,historian point
LOG-00218,2026-07-06 19:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.5,batch hold,historian point
LOG-00219,2026-07-06 19:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,batch hold,historian point
LOG-00220,2026-07-06 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,batch hold,historian point
LOG-00221,2026-07-06 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.0,batch hold,historian point
LOG-00222,2026-07-06 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.40,batch hold,historian point
LOG-00223,2026-07-06 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.4,batch hold,historian point
LOG-00224,2026-07-06 20:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,batch hold,historian point
LOG-00225,2026-07-06 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.1,batch hold,historian point
LOG-00226,2026-07-06 21:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.1,batch hold,historian point
LOG-00227,2026-07-06 21:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.38,batch hold,historian point
LOG-00228,2026-07-06 21:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.2,batch hold,historian point
LOG-00229,2026-07-06 21:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,batch hold,historian point
LOG-00230,2026-07-06 21:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.2,batch hold,historian point
LOG-00231,2026-07-06 22:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.2,batch hold,historian point
LOG-00232,2026-07-06 22:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.37,batch hold,historian point
LOG-00233,2026-07-06 22:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.1,batch hold,historian point
LOG-00234,2026-07-06 22:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,batch hold,historian point
LOG-00235,2026-07-06 22:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.4,batch hold,historian point
LOG-00236,2026-07-06 23:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.3,batch hold,historian point
LOG-00237,2026-07-06 23:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.37,batch hold,historian point
LOG-00238,2026-07-06 23:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.9,batch hold,historian point
LOG-00239,2026-07-06 23:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,batch hold,historian point
LOG-00240,2026-07-06 23:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.6,batch hold,historian point
LOG-00241,2026-07-07 00:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.5,recirculation,historian point
LOG-00242,2026-07-07 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.36,recirculation,historian point
LOG-00243,2026-07-07 00:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.8,recirculation,historian point
LOG-00244,2026-07-07 00:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,recirculation,historian point
LOG-00245,2026-07-07 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.7,recirculation,historian point
LOG-00246,2026-07-07 01:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.6,recirculation,historian point
LOG-00247,2026-07-07 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.36,recirculation,historian point
LOG-00248,2026-07-07 01:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.7,recirculation,historian point
LOG-00249,2026-07-07 01:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,recirculation,historian point
LOG-00250,2026-07-07 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,72.9,recirculation,historian point
LOG-00251,2026-07-07 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,recirculation,historian point
LOG-00252,2026-07-07 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.36,recirculation,historian point
LOG-00253,2026-07-07 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.6,recirculation,historian point
LOG-00254,2026-07-07 02:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.4,recirculation,historian point
LOG-00255,2026-07-07 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,73.1,recirculation,historian point
LOG-00256,2026-07-07 03:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.0,recirculation,historian point
LOG-00257,2026-07-07 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.36,recirculation,historian point
LOG-00258,2026-07-07 03:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.5,recirculation,historian point
LOG-00259,2026-07-07 03:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.4,recirculation,historian point
LOG-00260,2026-07-07 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,73.3,recirculation,historian point
LOG-00261,2026-07-07 04:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.2,recirculation,historian point
LOG-00262,2026-07-07 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.37,recirculation,historian point
LOG-00263,2026-07-07 04:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.4,recirculation,historian point
LOG-00264,2026-07-07 04:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.4,recirculation,historian point
LOG-00265,2026-07-07 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,73.5,recirculation,historian point
LOG-00266,2026-07-07 05:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.4,recirculation,historian point
LOG-00267,2026-07-07 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.38,recirculation,historian point
LOG-00268,2026-07-07 05:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.3,recirculation,historian point
LOG-00269,2026-07-07 05:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.3,recirculation,historian point
LOG-00270,2026-07-07 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,73.7,recirculation,historian point
LOG-00271,2026-07-07 06:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.6,recirculation,historian point
LOG-00272,2026-07-07 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.40,recirculation,historian point
LOG-00273,2026-07-07 06:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,recirculation,historian point
LOG-00274,2026-07-07 06:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.3,recirculation,historian point
LOG-00275,2026-07-07 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,73.8,recirculation,historian point
LOG-00276,2026-07-07 07:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.8,recirculation,historian point
LOG-00277,2026-07-07 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.42,recirculation,historian point
LOG-00278,2026-07-07 07:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,recirculation,historian point
LOG-00279,2026-07-07 07:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.3,recirculation,historian point
LOG-00280,2026-07-07 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.0,recirculation,historian point
LOG-00281,2026-07-07 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,79.0,recirculation,historian point
LOG-00282,2026-07-07 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.44,recirculation,historian point
LOG-00283,2026-07-07 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,recirculation,historian point
LOG-00284,2026-07-07 08:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.3,recirculation,historian point
LOG-00285,2026-07-07 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.2,recirculation,historian point
LOG-00286,2026-07-07 09:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,79.3,recirculation,historian point
LOG-00287,2026-07-07 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.46,recirculation,historian point
LOG-00288,2026-07-07 09:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.1,recirculation,historian point
LOG-00289,2026-07-07 09:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.3,recirculation,historian point
LOG-00290,2026-07-07 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.3,recirculation,historian point
LOG-00291,2026-07-07 10:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,79.5,heat-up,historian point
LOG-00292,2026-07-07 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.49,heat-up,historian point
LOG-00293,2026-07-07 10:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.1,heat-up,historian point
LOG-00294,2026-07-07 10:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00295,2026-07-07 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.5,heat-up,historian point
LOG-00296,2026-07-07 11:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,79.7,heat-up,historian point
LOG-00297,2026-07-07 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.52,heat-up,historian point
LOG-00298,2026-07-07 11:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,heat-up,historian point
LOG-00299,2026-07-07 11:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00300,2026-07-07 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.6,heat-up,historian point
LOG-00301,2026-07-07 12:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,79.9,heat-up,historian point
LOG-00302,2026-07-07 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.55,heat-up,historian point
LOG-00303,2026-07-07 12:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,heat-up,historian point
LOG-00304,2026-07-07 12:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00305,2026-07-07 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.7,heat-up,historian point
LOG-00306,2026-07-07 13:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,80.1,heat-up,historian point
LOG-00307,2026-07-07 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.59,heat-up,historian point
LOG-00308,2026-07-07 13:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.3,heat-up,historian point
LOG-00309,2026-07-07 13:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00310,2026-07-07 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.8,heat-up,historian point
LOG-00311,2026-07-07 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,80.3,heat-up,historian point
LOG-00312,2026-07-07 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.62,heat-up,historian point
LOG-00313,2026-07-07 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.3,heat-up,historian point
LOG-00314,2026-07-07 14:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00315,2026-07-07 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,74.9,heat-up,historian point
LOG-00316,2026-07-07 15:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,80.5,heat-up,historian point
LOG-00317,2026-07-07 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.66,heat-up,historian point
LOG-00318,2026-07-07 15:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.4,heat-up,historian point
LOG-00319,2026-07-07 15:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.2,heat-up,historian point
LOG-00320,2026-07-07 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.0,heat-up,historian point
LOG-00321,2026-07-07 16:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,80.7,heat-up,historian point
LOG-00322,2026-07-07 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.70,heat-up,historian point
LOG-00323,2026-07-07 16:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.5,heat-up,historian point
LOG-00324,2026-07-07 16:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.1,heat-up,historian point
LOG-00325,2026-07-07 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.0,heat-up,historian point
LOG-00326,2026-07-07 17:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,80.8,recirculation,historian point
LOG-00327,2026-07-07 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.74,recirculation,historian point
LOG-00328,2026-07-07 17:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.7,recirculation,historian point
LOG-00329,2026-07-07 17:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.1,recirculation,historian point
LOG-00330,2026-07-07 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.1,recirculation,historian point
LOG-00331,2026-07-07 18:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,81.0,batch hold,historian point
LOG-00332,2026-07-07 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.79,batch hold,historian point
LOG-00333,2026-07-07 18:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.8,batch hold,historian point
LOG-00334,2026-07-07 18:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.1,batch hold,historian point
LOG-00335,2026-07-07 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.1,batch hold,historian point
LOG-00336,2026-07-07 19:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,81.1,batch hold,historian point
LOG-00337,2026-07-07 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.83,batch hold,historian point
LOG-00338,2026-07-07 19:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.0,batch hold,historian point
LOG-00339,2026-07-07 19:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.1,batch hold,historian point
LOG-00340,2026-07-07 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.1,batch hold,historian point
LOG-00341,2026-07-07 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,81.2,batch hold,historian point
LOG-00342,2026-07-07 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.88,batch hold,historian point
LOG-00343,2026-07-07 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.1,batch hold,historian point
LOG-00344,2026-07-07 20:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.1,batch hold,historian point
LOG-00345,2026-07-07 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,75.1,batch hold,historian point
